Credit used (%),Months since last late payment,On-time payment rate (%),Number of loans,Loans not paid off (%),Months since last credit application,CreditScore
18.0,32.0,75.0,12.0,75.0,0.0,Bad
105.0,1.0,67.0,21.0,82.0,0.0,Bad
32.0,36.0,94.0,17.0,50.0,0.0,Bad
78.0,12.0,96.0,25.0,87.0,0.0,Good
32.0,1.0,81.0,16.0,64.0,0.0,Bad
51.0,9.0,96.0,23.0,90.0,0.0,Bad
28.0,9.0,94.0,18.0,60.0,0.0,Good
67.0,6.0,94.0,50.0,74.0,0.0,Bad
80.0,6.0,80.0,30.0,88.0,0.0,Bad
5.0,46.0,96.0,23.0,45.0,0.0,Good
13.0,8.0,43.0,16.0,67.0,0.0,Bad
75.0,76.0,96.0,26.0,100.0,0.0,Bad
66.0,52.0,96.0,27.0,88.0,0.0,Bad
26.0,7.0,93.0,27.0,40.0,0.0,Bad
35.0,10.0,83.0,41.0,76.0,0.0,Bad
7.0,1.0,91.0,32.0,55.0,0.0,Bad
12.0,13.0,89.0,19.0,40.0,0.0,Bad
40.0,13.0,87.0,15.0,82.0,0.0,Bad
17.0,7.0,75.0,8.0,100.0,0.0,Bad
5.0,78.0,97.0,30.0,50.0,0.0,Bad
18.0,1.0,93.0,40.0,46.0,0.0,Bad
79.0,39.0,86.0,8.0,100.0,0.0,Bad
4.0,1.0,88.0,32.0,82.0,0.0,Bad
70.0,16.0,93.0,29.0,100.0,0.0,Bad
68.0,42.0,92.0,37.0,78.0,0.0,Bad
54.0,18.0,97.0,37.0,56.0,0.0,Bad
13.0,1.0,80.0,25.0,50.0,0.0,Bad
19.0,0.0,75.0,16.0,75.0,0.0,Good
24.0,4.0,98.0,41.0,44.0,0.0,Bad
37.0,16.0,88.0,16.0,67.0,0.0,Good
67.0,41.0,95.0,22.0,50.0,0.0,Bad
32.0,7.0,92.0,27.0,90.0,0.0,Bad
86.0,11.0,60.0,10.0,100.0,0.0,Bad
33.0,7.0,73.0,2.0,75.0,3.0,Bad
23.0,25.0,68.0,23.0,50.0,2.0,Bad
10.0,15.0,86.0,7.0,33.0,7.0,Good
73.0,26.0,86.0,31.0,83.0,9.0,Good
39.0,19.0,94.0,37.0,78.0,0.0,Bad
1.0,17.0,44.0,9.0,60.0,7.0,Bad
26.0,11.0,85.0,16.0,50.0,0.0,Bad
49.0,3.0,60.0,26.0,70.0,17.0,Bad
72.0,26.0,96.0,44.0,100.0,12.0,Bad
49.0,10.0,88.0,45.0,75.0,2.0,Good
69.0,19.0,94.0,11.0,55.0,0.0,Bad
3.0,12.0,92.0,50.0,58.0,16.0,Good
44.0,9.0,92.0,29.0,54.0,15.0,Bad
84.0,4.0,87.0,22.0,100.0,2.0,Good
65.0,6.0,96.0,30.0,100.0,1.0,Bad
8.0,45.0,96.0,3.0,42.0,0.0,Good
7.0,8.0,82.0,33.0,50.0,6.0,Bad
0.0,28.0,89.0,9.0,83.0,8.0,Good
15.0,3.0,98.0,22.0,60.0,0.0,Bad
58.0,5.0,95.0,2.0,78.0,1.0,Bad
60.0,13.0,67.0,26.0,63.0,1.0,Bad
70.0,10.0,90.0,20.0,75.0,0.0,Bad
0.0,4.0,73.0,26.0,67.0,9.0,Bad
62.0,4.0,86.0,23.0,67.0,4.0,Good
0.0,2.0,82.0,33.0,78.0,0.0,Bad
51.0,11.0,84.0,36.0,69.0,0.0,Good
78.0,51.0,97.0,9.0,91.0,5.0,Bad
50.0,6.0,83.0,37.0,54.0,0.0,Good
74.0,3.0,83.0,8.0,89.0,1.0,Bad
38.0,7.0,96.0,44.0,75.0,5.0,Good
58.0,14.0,87.0,43.0,81.0,3.0,Bad
26.0,4.0,95.0,79.0,33.0,1.0,Bad
0.0,43.0,92.0,47.0,44.0,2.0,Good
35.0,22.0,96.0,47.0,47.0,0.0,Bad
37.0,24.0,97.0,4.0,78.0,0.0,Bad
54.0,34.0,93.0,31.0,63.0,9.0,Good
63.0,12.0,88.0,2.0,45.0,0.0,Bad
41.0,46.0,85.0,2.0,67.0,0.0,Bad
43.0,4.0,82.0,15.0,83.0,12.0,Bad
85.0,76.0,84.0,9.0,82.0,15.0,Bad
2.0,12.0,80.0,15.0,78.0,6.0,Bad
16.0,3.0,89.0,33.0,67.0,3.0,Good
23.0,12.0,96.0,24.0,75.0,4.0,Good
46.0,3.0,93.0,66.0,75.0,6.0,Bad
72.0,18.0,84.0,63.0,73.0,5.0,Bad
53.0,1.0,85.0,28.0,87.0,9.0,Bad
31.0,21.0,93.0,27.0,46.0,0.0,Bad
45.0,14.0,92.0,15.0,60.0,0.0,Good
59.0,1.0,98.0,50.0,62.0,1.0,Good
95.0,1.0,89.0,19.0,67.0,5.0,Bad
7.0,52.0,97.0,57.0,56.0,3.0,Good
76.0,14.0,68.0,34.0,88.0,3.0,Bad
30.0,3.0,74.0,18.0,50.0,0.0,Bad
77.0,31.0,90.0,26.0,100.0,5.0,Bad
24.0,1.0,91.0,38.0,64.0,17.0,Good
55.0,13.0,67.0,17.0,56.0,1.0,Bad
14.0,1.0,94.0,48.0,61.0,0.0,Good
19.0,15.0,98.0,7.0,73.0,4.0,Good
67.0,21.0,82.0,23.0,82.0,0.0,Bad
54.0,48.0,92.0,13.0,100.0,2.0,Bad
86.0,1.0,69.0,21.0,100.0,2.0,Bad
100.0,1.0,75.0,28.0,89.0,1.0,Good
4.0,14.0,84.0,32.0,56.0,2.0,Good
26.0,23.0,91.0,23.0,63.0,0.0,Bad
18.0,64.0,90.0,39.0,55.0,0.0,Bad
41.0,1.0,79.0,41.0,54.0,1.0,Good
8.0,5.0,97.0,23.0,90.0,10.0,Good
61.0,49.0,96.0,17.0,75.0,3.0,Good
27.0,7.0,73.0,28.0,67.0,0.0,Bad
28.0,4.0,74.0,45.0,76.0,12.0,Bad
45.0,3.0,73.0,2.0,56.0,3.0,Bad
52.0,5.0,88.0,60.0,70.0,0.0,Bad
2.0,30.0,94.0,13.0,43.0,9.0,Good
5.0,1.0,95.0,9.0,61.0,8.0,Bad
15.0,12.0,88.0,6.0,75.0,0.0,Bad
52.0,2.0,87.0,29.0,72.0,0.0,Bad
87.0,73.0,95.0,9.0,86.0,3.0,Bad
74.0,14.0,98.0,18.0,74.0,0.0,Bad
14.0,58.0,94.0,16.0,57.0,7.0,Bad
56.0,12.0,93.0,44.0,73.0,0.0,Good
60.0,61.0,94.0,83.0,75.0,1.0,Bad
8.0,36.0,91.0,25.0,67.0,4.0,Bad
37.0,24.0,96.0,4.0,67.0,2.0,Bad
103.0,17.0,80.0,18.0,80.0,1.0,Good
65.0,4.0,80.0,38.0,58.0,9.0,Bad
88.0,1.0,75.0,24.0,90.0,8.0,Bad
18.0,39.0,86.0,29.0,80.0,0.0,Good
2.0,53.0,92.0,20.0,57.0,8.0,Good
86.0,12.0,97.0,12.0,100.0,8.0,Bad
26.0,28.0,87.0,24.0,33.0,1.0,Bad
55.0,1.0,93.0,7.0,65.0,3.0,Bad
58.0,2.0,72.0,9.0,80.0,0.0,Bad
16.0,34.0,96.0,31.0,40.0,4.0,Bad
10.0,33.0,98.0,52.0,67.0,6.0,Good
22.0,42.0,98.0,59.0,52.0,2.0,Bad
7.0,2.0,92.0,16.0,29.0,5.0,Bad
29.0,24.0,82.0,46.0,75.0,3.0,Good
61.0,2.0,91.0,8.0,86.0,0.0,Bad
74.0,49.0,94.0,35.0,67.0,0.0,Bad
4.0,21.0,97.0,7.0,46.0,0.0,Bad
4.0,4.0,92.0,8.0,67.0,4.0,Bad
66.0,53.0,97.0,31.0,84.0,2.0,Bad
62.0,2.0,73.0,22.0,88.0,13.0,Bad
14.0,16.0,96.0,44.0,80.0,0.0,Good
60.0,3.0,95.0,23.0,67.0,4.0,Bad
70.0,14.0,97.0,61.0,70.0,0.0,Bad
86.0,12.0,97.0,35.0,93.0,0.0,Bad
29.0,1.0,97.0,33.0,50.0,4.0,Bad
26.0,10.0,86.0,7.0,80.0,1.0,Good
13.0,40.0,96.0,20.0,85.0,5.0,Good
2.0,38.0,89.0,28.0,56.0,10.0,Good
20.0,3.0,81.0,21.0,89.0,6.0,Bad
49.0,24.0,93.0,40.0,75.0,0.0,Good
0.0,32.0,97.0,38.0,36.0,0.0,Bad
3.0,35.0,96.0,45.0,46.0,11.0,Good
49.0,3.0,83.0,23.0,71.0,0.0,Bad
22.0,3.0,86.0,3.0,56.0,8.0,Good
2.0,2.0,97.0,41.0,36.0,4.0,Good
3.0,16.0,97.0,29.0,38.0,18.0,Good
14.0,18.0,90.0,34.0,64.0,7.0,Bad
2.0,62.0,95.0,5.0,58.0,5.0,Good
2.0,1.0,82.0,5.0,60.0,17.0,Bad
83.0,1.0,98.0,54.0,90.0,1.0,Bad
65.0,30.0,60.0,9.0,100.0,0.0,Bad
5.0,40.0,96.0,51.0,38.0,23.0,Good
38.0,27.0,91.0,22.0,81.0,0.0,Bad
60.0,30.0,95.0,42.0,84.0,3.0,Good
23.0,4.0,93.0,10.0,100.0,2.0,Bad
26.0,12.0,94.0,7.0,55.0,7.0,Good
10.0,23.0,96.0,58.0,33.0,6.0,Good
20.0,42.0,98.0,48.0,69.0,4.0,Good
30.0,6.0,76.0,76.0,78.0,4.0,Bad
0.0,25.0,94.0,16.0,43.0,8.0,Bad
32.0,12.0,93.0,43.0,75.0,9.0,Good
54.0,61.0,95.0,3.0,75.0,3.0,Bad
43.0,10.0,60.0,12.0,95.0,0.0,Good
44.0,19.0,83.0,17.0,70.0,1.0,Good
18.0,10.0,96.0,27.0,45.0,0.0,Good
3.0,22.0,96.0,27.0,54.0,4.0,Good
62.0,1.0,81.0,32.0,86.0,1.0,Bad
6.0,16.0,97.0,37.0,41.0,0.0,Bad
14.0,4.0,96.0,21.0,64.0,0.0,Good
33.0,29.0,95.0,30.0,56.0,13.0,Good
28.0,42.0,93.0,33.0,78.0,2.0,Bad
84.0,45.0,85.0,34.0,89.0,3.0,Good
61.0,42.0,79.0,20.0,50.0,7.0,Good
2.0,11.0,70.0,55.0,46.0,7.0,Good
0.0,40.0,95.0,44.0,36.0,1.0,Good
23.0,65.0,99.0,72.0,37.0,2.0,Good
13.0,23.0,67.0,9.0,50.0,0.0,Bad
88.0,3.0,78.0,37.0,100.0,0.0,Bad
21.0,4.0,77.0,37.0,65.0,1.0,Good
52.0,57.0,97.0,73.0,79.0,0.0,Good
46.0,4.0,80.0,15.0,80.0,0.0,Bad
30.0,62.0,92.0,25.0,40.0,0.0,Good
1.0,50.0,92.0,12.0,38.0,0.0,Good
86.0,70.0,92.0,26.0,100.0,0.0,Bad
6.0,76.0,96.0,26.0,47.0,0.0,Good
49.0,21.0,89.0,19.0,88.0,0.0,Good
32.0,25.0,86.0,14.0,83.0,0.0,Bad
28.0,41.0,87.0,30.0,38.0,0.0,Good
18.0,6.0,92.0,24.0,58.0,0.0,Bad
5.0,25.0,97.0,34.0,73.0,0.0,Good
14.0,16.0,82.0,34.0,44.0,0.0,Good
87.0,14.0,92.0,36.0,92.0,0.0,Bad
50.0,0.0,88.0,33.0,44.0,0.0,Bad
28.0,60.0,95.0,20.0,67.0,0.0,Good
26.0,25.0,97.0,31.0,67.0,0.0,Bad
43.0,5.0,73.0,26.0,74.0,0.0,Bad
37.0,2.0,86.0,29.0,89.0,0.0,Bad
23.0,53.0,96.0,27.0,65.0,0.0,Good
36.0,71.0,93.0,28.0,92.0,0.0,Good
27.0,6.0,95.0,39.0,42.0,0.0,Good
60.0,40.0,96.0,23.0,62.0,0.0,Bad
6.0,26.0,95.0,22.0,40.0,0.0,Good
37.0,59.0,95.0,43.0,77.0,0.0,Good
23.0,25.0,71.0,7.0,80.0,0.0,Bad
46.0,2.0,65.0,20.0,82.0,0.0,Good
75.0,21.0,80.0,25.0,70.0,0.0,Good
12.0,31.0,65.0,19.0,70.0,0.0,Good
61.0,10.0,85.0,52.0,67.0,7.0,Good
70.0,8.0,50.0,11.0,100.0,0.0,Bad
45.0,6.0,93.0,20.0,44.0,0.0,Good
31.0,26.0,91.0,9.0,77.0,13.0,Bad
55.0,19.0,93.0,21.0,56.0,2.0,Bad
41.0,51.0,94.0,9.0,79.0,0.0,Good
20.0,3.0,97.0,12.0,38.0,9.0,Good
10.0,2.0,93.0,57.0,50.0,0.0,Good
84.0,1.0,84.0,11.0,100.0,23.0,Bad
6.0,5.0,89.0,56.0,56.0,0.0,Bad
5.0,19.0,85.0,13.0,50.0,4.0,Bad
15.0,62.0,92.0,18.0,80.0,10.0,Good
21.0,12.0,89.0,1.0,56.0,0.0,Bad
48.0,42.0,97.0,35.0,57.0,8.0,Bad
84.0,8.0,92.0,1.0,67.0,7.0,Bad
27.0,4.0,89.0,37.0,59.0,1.0,Bad
3.0,47.0,96.0,44.0,17.0,6.0,Bad
18.0,3.0,75.0,63.0,80.0,1.0,Bad
7.0,3.0,82.0,2.0,35.0,0.0,Bad
46.0,21.0,84.0,13.0,75.0,1.0,Good
21.0,46.0,98.0,37.0,31.0,0.0,Good
3.0,8.0,82.0,23.0,29.0,0.0,Good
63.0,5.0,94.0,17.0,100.0,18.0,Bad
51.0,17.0,91.0,57.0,56.0,14.0,Good
34.0,11.0,68.0,25.0,71.0,2.0,Bad
38.0,7.0,95.0,83.0,71.0,1.0,Good
39.0,8.0,94.0,8.0,53.0,3.0,Bad
4.0,8.0,77.0,23.0,50.0,8.0,Good
22.0,40.0,94.0,32.0,47.0,9.0,Good
32.0,37.0,91.0,42.0,50.0,3.0,Good
42.0,41.0,97.0,38.0,65.0,0.0,Bad
4.0,4.0,94.0,10.0,43.0,2.0,Good
33.0,1.0,97.0,30.0,73.0,9.0,Good
14.0,28.0,97.0,17.0,50.0,7.0,Good
41.0,4.0,92.0,40.0,65.0,9.0,Good
61.0,21.0,96.0,31.0,82.0,0.0,Good
7.0,5.0,96.0,77.0,38.0,0.0,Good
21.0,8.0,81.0,31.0,73.0,4.0,Bad
10.0,43.0,96.0,54.0,64.0,3.0,Good
38.0,53.0,97.0,12.0,56.0,2.0,Good
31.0,15.0,94.0,17.0,78.0,5.0,Good
62.0,59.0,97.0,12.0,63.0,5.0,Bad
43.0,44.0,94.0,1.0,42.0,0.0,Bad
30.0,44.0,97.0,46.0,36.0,12.0,Good
66.0,22.0,95.0,53.0,70.0,0.0,Good
6.0,11.0,91.0,24.0,31.0,20.0,Good
49.0,0.0,88.0,21.0,91.0,6.0,Bad
22.0,19.0,87.0,17.0,50.0,3.0,Good
42.0,32.0,87.0,9.0,67.0,1.0,Bad
45.0,4.0,91.0,23.0,88.0,4.0,Good
57.0,7.0,94.0,15.0,95.0,15.0,Good
7.0,37.0,77.0,45.0,45.0,2.0,Good
37.0,2.0,88.0,16.0,69.0,4.0,Bad
66.0,5.0,84.0,11.0,71.0,2.0,Bad
66.0,11.0,84.0,34.0,64.0,4.0,Good
39.0,81.0,96.0,34.0,50.0,1.0,Good
63.0,55.0,98.0,74.0,71.0,0.0,Bad
35.0,46.0,96.0,17.0,60.0,0.0,Bad
2.0,2.0,88.0,22.0,44.0,20.0,Good
7.0,73.0,97.0,51.0,54.0,12.0,Good
0.0,6.0,90.0,59.0,31.0,1.0,Bad
27.0,68.0,98.0,30.0,50.0,1.0,Good
51.0,28.0,98.0,30.0,70.0,1.0,Bad
6.0,53.0,89.0,22.0,63.0,5.0,Good
33.0,2.0,97.0,50.0,42.0,6.0,Good
32.0,19.0,97.0,54.0,44.0,0.0,Bad
60.0,10.0,94.0,28.0,92.0,0.0,Bad
26.0,11.0,86.0,24.0,67.0,2.0,Bad
16.0,2.0,71.0,3.0,44.0,0.0,Bad
19.0,76.0,98.0,63.0,71.0,4.0,Good
6.0,8.0,95.0,74.0,53.0,7.0,Good
54.0,11.0,82.0,30.0,56.0,15.0,Good
1.0,4.0,94.0,8.0,31.0,10.0,Good
24.0,11.0,88.0,51.0,39.0,2.0,Good
5.0,11.0,86.0,25.0,68.0,1.0,Good
48.0,3.0,96.0,8.0,50.0,1.0,Bad
70.0,4.0,77.0,12.0,71.0,15.0,Good
60.0,54.0,97.0,29.0,67.0,1.0,Bad
48.0,35.0,92.0,35.0,86.0,3.0,Bad
0.0,1.0,96.0,25.0,43.0,0.0,Good
43.0,69.0,98.0,23.0,60.0,4.0,Good
47.0,19.0,97.0,11.0,63.0,1.0,Bad
27.0,14.0,95.0,27.0,50.0,14.0,Bad
32.0,5.0,98.0,3.0,91.0,1.0,Bad
2.0,0.0,97.0,17.0,32.0,9.0,Good
5.0,1.0,67.0,10.0,83.0,6.0,Bad
35.0,29.0,88.0,10.0,78.0,4.0,Good
10.0,15.0,99.0,100.0,38.0,0.0,Bad
11.0,3.0,93.0,55.0,35.0,0.0,Good
18.0,46.0,96.0,37.0,67.0,1.0,Good
0.0,10.0,83.0,11.0,50.0,0.0,Bad
6.0,13.0,95.0,36.0,47.0,0.0,Bad
6.0,26.0,96.0,30.0,89.0,8.0,Good
49.0,26.0,78.0,41.0,71.0,1.0,Bad
25.0,19.0,81.0,28.0,75.0,5.0,Good
46.0,6.0,90.0,23.0,67.0,0.0,Bad
26.0,0.0,97.0,40.0,39.0,1.0,Good
20.0,6.0,88.0,32.0,90.0,20.0,Good
1.0,45.0,96.0,24.0,43.0,0.0,Good
33.0,3.0,97.0,42.0,73.0,4.0,Good
38.0,9.0,97.0,26.0,53.0,0.0,Bad
37.0,2.0,92.0,23.0,68.0,0.0,Bad
0.0,13.0,95.0,1.0,50.0,2.0,Good
6.0,2.0,86.0,37.0,38.0,2.0,Good
10.0,29.0,97.0,18.0,64.0,1.0,Good
11.0,1.0,96.0,45.0,42.0,2.0,Good
17.0,51.0,96.0,33.0,31.0,8.0,Good
0.0,2.0,94.0,2.0,18.0,4.0,Good
22.0,40.0,95.0,7.0,100.0,1.0,Good
35.0,24.0,93.0,42.0,80.0,0.0,Good
43.0,33.0,97.0,21.0,46.0,2.0,Good
10.0,27.0,88.0,4.0,33.0,0.0,Bad
36.0,8.0,77.0,27.0,80.0,5.0,Bad
15.0,22.0,73.0,14.0,75.0,4.0,Bad
33.0,6.0,93.0,55.0,56.0,0.0,Bad
23.0,0.0,95.0,20.0,88.0,3.0,Bad
6.0,8.0,97.0,15.0,38.0,4.0,Good
3.0,1.0,95.0,24.0,58.0,4.0,Bad
15.0,3.0,67.0,25.0,80.0,2.0,Bad
40.0,48.0,95.0,19.0,80.0,14.0,Good
6.0,37.0,97.0,34.0,47.0,9.0,Good
11.0,12.0,94.0,8.0,57.0,10.0,Good
9.0,41.0,94.0,29.0,60.0,2.0,Good
19.0,1.0,83.0,36.0,63.0,0.0,Good
2.0,34.0,96.0,49.0,64.0,1.0,Good
9.0,55.0,97.0,21.0,47.0,4.0,Bad
0.0,8.0,98.0,54.0,33.0,2.0,Good
33.0,13.0,79.0,20.0,100.0,3.0,Bad
36.0,12.0,98.0,33.0,57.0,3.0,Good
1.0,47.0,98.0,26.0,35.0,2.0,Good
13.0,18.0,98.0,59.0,33.0,0.0,Bad
11.0,30.0,97.0,45.0,33.0,0.0,Good
5.0,70.0,96.0,40.0,56.0,0.0,Good
53.0,55.0,96.0,23.0,85.0,12.0,Good
3.0,34.0,89.0,9.0,43.0,0.0,Good
6.0,79.0,97.0,19.0,41.0,3.0,Good
60.0,5.0,67.0,6.0,67.0,0.0,Bad
8.0,34.0,84.0,38.0,56.0,1.0,Bad
46.0,32.0,93.0,4.0,57.0,0.0,Good
50.0,2.0,88.0,39.0,70.0,1.0,Bad
4.0,8.0,91.0,7.0,63.0,11.0,Bad
0.0,11.0,96.0,30.0,50.0,22.0,Good
6.0,36.0,92.0,6.0,33.0,4.0,Good
16.0,29.0,96.0,39.0,47.0,3.0,Good
9.0,76.0,98.0,14.0,48.0,9.0,Good
14.0,42.0,95.0,18.0,60.0,5.0,Good
12.0,8.0,92.0,29.0,70.0,6.0,Bad
43.0,37.0,96.0,14.0,79.0,2.0,Good
42.0,19.0,89.0,18.0,58.0,0.0,Good
7.0,15.0,89.0,23.0,67.0,3.0,Good
37.0,10.0,89.0,22.0,100.0,0.0,Bad
21.0,3.0,95.0,50.0,46.0,6.0,Good
6.0,56.0,97.0,38.0,27.0,5.0,Good
14.0,42.0,97.0,29.0,50.0,11.0,Good
24.0,15.0,95.0,16.0,80.0,9.0,Good
20.0,7.0,97.0,60.0,49.0,3.0,Bad
2.0,10.0,90.0,13.0,55.0,1.0,Bad
15.0,16.0,92.0,23.0,83.0,2.0,Bad
39.0,12.0,78.0,26.0,63.0,0.0,Bad
20.0,1.0,69.0,55.0,57.0,2.0,Bad
27.0,15.0,77.0,26.0,56.0,0.0,Bad
64.0,7.0,90.0,35.0,92.0,0.0,Bad
13.0,13.0,97.0,37.0,62.0,3.0,Good
2.0,10.0,84.0,43.0,23.0,0.0,Bad
2.0,15.0,97.0,44.0,42.0,0.0,Bad
23.0,0.0,86.0,23.0,75.0,11.0,Bad
40.0,7.0,67.0,9.0,67.0,5.0,Bad
2.0,8.0,95.0,22.0,50.0,9.0,Bad
20.0,11.0,93.0,44.0,52.0,2.0,Bad
2.0,14.0,95.0,40.0,39.0,0.0,Bad
5.0,12.0,97.0,37.0,40.0,9.0,Bad
15.0,0.0,95.0,20.0,54.0,0.0,Bad
78.0,3.0,64.0,15.0,100.0,2.0,Bad
50.0,6.0,96.0,14.0,81.0,0.0,Bad
89.0,0.0,83.0,7.0,94.0,7.0,Bad
57.0,7.0,76.0,3.0,50.0,2.0,Bad
47.0,35.0,97.0,51.0,85.0,5.0,Bad
78.0,16.0,96.0,16.0,83.0,0.0,Bad
50.0,14.0,88.0,32.0,83.0,0.0,Good
23.0,50.0,94.0,31.0,58.0,0.0,Bad
53.0,32.0,89.0,56.0,83.0,0.0,Bad
62.0,13.0,95.0,22.0,70.0,0.0,Bad
13.0,3.0,86.0,14.0,56.0,0.0,Bad
97.0,50.0,90.0,10.0,100.0,0.0,Bad
58.0,30.0,93.0,15.0,64.0,0.0,Bad
6.0,22.0,83.0,18.0,71.0,0.0,Good
40.0,78.0,89.0,9.0,78.0,0.0,Bad
25.0,4.0,79.0,39.0,59.0,0.0,Bad
49.0,2.0,91.0,45.0,50.0,0.0,Bad
53.0,56.0,90.0,21.0,89.0,0.0,Bad
6.0,25.0,95.0,22.0,69.0,0.0,Bad
43.0,35.0,92.0,26.0,64.0,0.0,Bad
89.0,19.0,72.0,29.0,81.0,0.0,Bad
8.0,12.0,78.0,19.0,60.0,0.0,Good
44.0,37.0,96.0,27.0,92.0,0.0,Bad
49.0,50.0,85.0,13.0,67.0,0.0,Bad
92.0,54.0,93.0,15.0,91.0,0.0,Bad
99.0,56.0,86.0,29.0,78.0,0.0,Good
9.0,28.0,82.0,12.0,50.0,0.0,Good
87.0,39.0,95.0,19.0,80.0,0.0,Bad
56.0,37.0,88.0,34.0,65.0,0.0,Bad
71.0,14.0,88.0,34.0,29.0,0.0,Bad
63.0,74.0,94.0,16.0,86.0,0.0,Good
32.0,15.0,83.0,18.0,86.0,0.0,Bad
99.0,17.0,53.0,19.0,100.0,0.0,Bad
20.0,5.0,91.0,22.0,36.0,0.0,Bad
19.0,29.0,93.0,28.0,42.0,0.0,Bad
1.0,15.0,88.0,17.0,40.0,0.0,Bad
27.0,14.0,85.0,27.0,79.0,0.0,Bad
60.0,2.0,82.0,17.0,100.0,0.0,Bad
44.0,18.0,89.0,29.0,65.0,0.0,Good
80.0,14.0,91.0,34.0,59.0,0.0,Bad
81.0,1.0,96.0,24.0,89.0,0.0,Bad
1.0,24.0,96.0,26.0,46.0,0.0,Bad
97.0,64.0,75.0,16.0,100.0,0.0,Bad
63.0,24.0,92.0,13.0,80.0,0.0,Bad
39.0,53.0,94.0,18.0,83.0,0.0,Bad
76.0,0.0,84.0,38.0,90.0,0.0,Bad
30.0,5.0,79.0,14.0,60.0,0.0,Bad
19.0,4.0,88.0,27.0,44.0,0.0,Good
50.0,76.0,92.0,24.0,57.0,0.0,Good
88.0,37.0,92.0,13.0,80.0,0.0,Bad
55.0,18.0,85.0,20.0,67.0,0.0,Bad
29.0,55.0,86.0,21.0,67.0,0.0,Bad
66.0,3.0,83.0,6.0,83.0,0.0,Bad
27.0,1.0,71.0,17.0,45.0,0.0,Bad
53.0,1.0,70.0,23.0,77.0,0.0,Bad
72.0,2.0,92.0,37.0,100.0,0.0,Good
29.0,40.0,87.0,15.0,70.0,0.0,Bad
41.0,1.0,84.0,25.0,55.0,0.0,Bad
28.0,19.0,95.0,23.0,100.0,0.0,Bad
20.0,2.0,84.0,32.0,33.0,0.0,Good
75.0,1.0,87.0,45.0,63.0,0.0,Bad
76.0,4.0,95.0,21.0,65.0,0.0,Bad
3.0,69.0,93.0,14.0,33.0,0.0,Bad
91.0,25.0,83.0,6.0,100.0,0.0,Bad
46.0,8.0,98.0,40.0,71.0,0.0,Bad
0.0,12.0,92.0,24.0,25.0,0.0,Bad
6.0,25.0,97.0,29.0,69.0,0.0,Good
31.0,52.0,93.0,30.0,70.0,0.0,Good
34.0,16.0,97.0,33.0,45.0,0.0,Good
17.0,72.0,94.0,36.0,25.0,0.0,Bad
23.0,51.0,90.0,20.0,18.0,0.0,Bad
0.0,51.0,97.0,39.0,35.0,0.0,Good
21.0,45.0,92.0,24.0,70.0,0.0,Bad
76.0,5.0,83.0,18.0,91.0,0.0,Bad
53.0,8.0,88.0,17.0,83.0,0.0,Bad
34.0,13.0,94.0,19.0,67.0,0.0,Bad
29.0,63.0,73.0,15.0,83.0,0.0,Bad
86.0,20.0,87.0,15.0,58.0,0.0,Bad
25.0,20.0,92.0,26.0,38.0,0.0,Bad
42.0,9.0,76.0,33.0,73.0,0.0,Bad
59.0,7.0,95.0,59.0,83.0,0.0,Bad
67.0,24.0,86.0,28.0,89.0,0.0,Bad
23.0,2.0,81.0,47.0,58.0,0.0,Bad
36.0,11.0,97.0,32.0,100.0,0.0,Bad
67.0,21.0,88.0,25.0,78.0,0.0,Bad
91.0,3.0,92.0,13.0,100.0,0.0,Bad
73.0,70.0,94.0,17.0,100.0,0.0,Good
90.0,44.0,94.0,16.0,100.0,0.0,Bad
71.0,1.0,94.0,31.0,62.0,0.0,Bad
42.0,3.0,70.0,20.0,73.0,0.0,Good
88.0,6.0,80.0,30.0,93.0,0.0,Bad
12.0,37.0,84.0,19.0,50.0,0.0,Bad
66.0,3.0,80.0,59.0,77.0,0.0,Bad
61.0,3.0,92.0,24.0,69.0,0.0,Good
19.0,35.0,83.0,18.0,64.0,0.0,Good
46.0,12.0,75.0,16.0,75.0,0.0,Bad
52.0,57.0,95.0,20.0,63.0,0.0,Bad
14.0,25.0,93.0,29.0,62.0,0.0,Good
69.0,10.0,88.0,24.0,83.0,0.0,Bad
81.0,8.0,90.0,42.0,100.0,0.0,Bad
22.0,22.0,93.0,55.0,67.0,0.0,Good
4.0,27.0,94.0,16.0,64.0,0.0,Bad
62.0,9.0,95.0,21.0,78.0,0.0,Bad
5.0,4.0,84.0,64.0,37.0,0.0,Good
58.0,1.0,88.0,17.0,75.0,0.0,Bad
9.0,16.0,83.0,23.0,53.0,0.0,Bad
86.0,6.0,93.0,14.0,100.0,0.0,Bad
2.0,2.0,76.0,34.0,50.0,0.0,Good
7.0,73.0,84.0,25.0,71.0,0.0,Good
4.0,42.0,94.0,16.0,55.0,0.0,Good
57.0,30.0,88.0,17.0,70.0,0.0,Bad
46.0,32.0,94.0,17.0,86.0,0.0,Bad
100.0,39.0,29.0,7.0,100.0,0.0,Good
8.0,33.0,95.0,21.0,86.0,0.0,Good
15.0,9.0,88.0,26.0,47.0,0.0,Bad
0.0,9.0,84.0,25.0,50.0,0.0,Bad
47.0,25.0,72.0,36.0,88.0,0.0,Bad
80.0,11.0,74.0,19.0,80.0,0.0,Bad
41.0,10.0,89.0,18.0,58.0,0.0,Bad
32.0,4.0,96.0,23.0,77.0,0.0,Bad
